row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.0783735768
MeanDiff,LogReg,0.7052008733
MeanDiff,PCA,0.5731889356
MeanDiff,Random,0.01983086068
KMeans,MeanDiff,0.0783735768
KMeans,KMeans,1
KMeans,LogReg,0.01441017725
KMeans,PCA,0.8321650411
KMeans,Random,-0.003465210136
LogReg,MeanDiff,0.7052008733
LogReg,KMeans,0.01441017725
LogReg,LogReg,1
LogReg,PCA,0.2970613958
LogReg,Random,-0.02268644954
PCA,MeanDiff,0.5731889356
PCA,KMeans,0.8321650411
PCA,LogReg,0.2970613958
PCA,PCA,1
PCA,Random,0.01262421138
Random,MeanDiff,0.01983086068
Random,KMeans,-0.003465210136
Random,LogReg,-0.02268644954
Random,PCA,0.01262421138
Random,Random,1
