row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.9997438594,0.8354776559,0.9921073196,0.01911411428
KMeans,0.9997438594,1,0.8304184517,0.9925424104,0.01947439014
LogReg,0.8354776559,0.8304184517,1,0.7834148216,0.001792572965
PCA,0.9921073196,0.9925424104,0.7834148216,1,0.02044604632
Random,0.01911411428,0.01947439014,0.001792572965,0.02044604632,1
