step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9192015862,1.338934644e-05,0.9578999859,7.270314475e-06,3
neutral-negative,0.9674287242,1.262595543e-05,0.9834447492,6.523736649e-06,3
positive-negative,0.9725400582,1.71701752e-05,0.9860788926,8.825780683e-06,3
