step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8095780826,0.002837232521,0.8947681789,0.00173393563,3
neutral-negative,0.9060375071,0.0007333759404,0.9507026017,0.0004036457445,3
positive-negative,0.8510026958,0.00345317636,0.9195020386,0.002015222839,3
