step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.6559258899,0.003576271729,0.7922127209,0.002610941408,3
neutral-negative,0.8303409627,0.00104208524,0.9073071778,0.0006219545369,3
positive-negative,0.8149599853,0.002747465489,0.8980456488,0.001666828438,3
