metric,value
span,2.7027148
midpoint_residual,1.412837677
valence_offset,0.6035219263
markedness,1.277447293
markedness_ratio,2.554894585
apex_angle_deg,36.1890527
effective_vertices,9.9477597
step_cosine,-0.8070731424
