method,raw_mean,raw_sd,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.6980869672,0.04361188055,0.8026860944,1.359739956e-16,0.05654434963,0,,3
KMeans,0.6414547918,0.02861654346,0.6755928624,0.001374643509,0.03408432916,0.000220623557,,3
LogReg,0.8012538275,0.05104266656,0.9098637947,0,0.03591345656,0,,3
PCA,0.634695034,0.02524211141,0.6643735262,0,0.03325096383,0,,3
