layer,accuracy_mean,agreement_mean
1,0.9475649535,0.3402587161
2,0.9422796087,0.3454277497
3,0.9424459059,0.3524821276
4,0.9544805379,0.4016603675
5,0.9594832389,0.3069050006
6,0.9594830548,0.7409864597
7,0.9641398222,0.3614087112
8,0.9596024891,0.3019679018
9,0.9665207746,0.3771115436
10,0.9569838282,0.3981060311
11,0.961748434,0.400210452
12,0.9618090229,0.6989945726
13,0.9545500217,0.4196392364
14,0.9616402089,0.4316364486
15,0.9641346043,0.4468064797
16,0.9641899753,0.3855177809
17,0.9641346043,0.4466507355
18,0.9594280705,0.4111833866
19,0.9571024891,0.4043538813
20,0.9665736287,0.3972892983
21,0.9571578601,-0.02134987722
22,0.9548851328,-0.03066270997
