row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.295857999,6.719989151e-05,0.424969744,0.0001528006207,3
neutral-negative,-0.295857999,6.719989151e-05,1,0,0.8064231002,0.0003138257082,3
positive-negative,0.424969744,0.0001528006207,0.8064231002,0.0003138257082,1,0,3
