row,positive-neutral_mean,positive-neutral_std,neutral-negative,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1939435811,0.4843151218,3.19612282e-06,3
neutral-negative,-0.1939427356,7.547741141e-07,1,0.7797274001,1.048270062e-06,3
positive-negative,0.4843151218,3.19612282e-06,0.7797269936,1,0,3
