step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9100024068,2.129407615e-05,0.9528809005,1.167409736e-05,3
neutral-negative,0.9667873867,8.267960902e-06,0.9831132671,4.274773786e-06,3
positive-negative,0.9717463641,1.363361791e-05,0.9856707554,7.013551505e-06,3
