step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.7888299283,0.003144216297,0.8819484225,0.001967071568,3
neutral-negative,0.8956221148,0.000739138112,0.9449372915,0.0004113527487,3
positive-negative,0.8432198543,0.002981634171,0.9149403509,0.001754958703,3
