row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1861375351,1.44991734e-05,0.4897543035,5.812903124e-05,3
neutral-negative,-0.1861375351,1.44991734e-05,1,0,0.8330455206,7.262874285e-05,3
positive-negative,0.4897543035,5.812903124e-05,0.8330455206,7.262874285e-05,1,0,3
