row,col,cosine_mean,cosine_std,n_seeds
positive-neutral,positive-neutral,1,0,3
positive-neutral,neutral-negative,-0.1861375351,1.44991734e-05,3
positive-neutral,positive-negative,0.4897543035,5.812903124e-05,3
neutral-negative,positive-neutral,-0.1861375351,1.44991734e-05,3
neutral-negative,neutral-negative,1,0,3
neutral-negative,positive-negative,0.8330455206,7.262874285e-05,3
positive-negative,positive-neutral,0.4897543035,5.812903124e-05,3
positive-negative,neutral-negative,0.8330455206,7.262874285e-05,3
positive-negative,positive-negative,1,0,3
