panel,level,pc1,pc2
raw,negative,7.311914883,-3.530029051
raw,neutral,-9.984045811,2.234392404
raw,positive,2.672130928,1.295636647
centered,negative,8.530452061,-5.348209534
centered,neutral,-10.90639088,0.3621444148
centered,positive,2.375938818,4.986065119
