intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,18.13603721,0.8199547379,0.4382755853,0.692993711,1.385987422,58.64094154,6.139055591,-0.5203995817
bad-news-delivery,4,18.16930693,1.295880277,0.7882419156,1.02858173,2.057163461,35.74019973,10.07269133,-0.8116739043
complaint,7,18.48116336,1.336114459,-0.3915813912,1.277445052,2.554890105,39.76392125,9.05343308,-0.7686864439
correction,9,15.92829374,0.9878401441,0.4385028376,0.8851798754,1.770359751,50.6489962,7.107742049,-0.634069482
criticism-or-feedback,8,20.38586754,0.8303660966,0.579803155,0.5944208575,1.188841715,53.52121038,6.72630528,-0.5945251654
disagreement,6,21.24308782,0.5008292347,0.3001284611,0.4009399321,0.8018798643,89.88140124,4.005278011,-0.002069937447
inquiry-sensitive,4,15.83209886,0.8067815308,0.3191294196,0.7409810065,1.481962013,61.58507384,5.845572272,-0.4758533508
refusal,8,15.10052235,1.254989584,0.2506368869,1.229707285,2.45941457,42.86383461,8.398688621,-0.7329724273
reminder,6,21.17416285,1.322709568,-0.6280825897,1.164075969,2.328151938,37.82140468,9.51841961,-0.7899259861
request,12,17.49172601,1.125442075,0.5054672434,1.005545986,2.011091972,44.68623734,8.056171686,-0.7109684114
ALL,72,12.15246162,1.385122525,0.6839087452,1.204505391,2.409010782,35.8248123,10.04890122,-0.8108104233
