step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9582641533,2.095311584e-05,0.9786873253,1.092791596e-05,3
neutral-negative,0.9776958754,6.318864712e-06,0.9887221666,3.231080259e-06,3
positive-negative,0.9819724149,5.59016896e-06,0.9909042199,2.846189583e-06,3
