layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.6272730002,0.4876049035,0.7585451808,0.5694444444,0.7432328681,0.584873071,0.9081525085,0.7411917943,0.6297936128,0.8464995052
2,0.7057503269,0.5478056384,0.7480069893,0.5416666667,0.7713259196,0.644656931,0.8758662236,0.7144817872,0.6455468107,0.7932814982
3,0.7196634566,0.5638030365,0.760397988,0.5555555556,0.7692220403,0.6649436015,0.8892467226,0.6880572373,0.6226489522,0.7520851646
4,0.7050228429,0.5477003924,0.7207325846,0.5416666667,0.7613853671,0.6607119959,0.8781572536,0.6956662096,0.621720187,0.7671406429
5,0.7474897161,0.5949558644,0.7459069558,0.6111111111,0.7653984182,0.6706154242,0.8748314912,0.6782653193,0.6030374337,0.750325239
6,0.7063868753,0.5468584241,0.7308088114,0.4861111111,0.7680879086,0.6661062739,0.8685730586,0.694855641,0.6298757245,0.7650350509
7,0.7472169096,0.5925352054,0.7715758148,0.5972222222,0.7457516136,0.6463512886,0.8573739605,0.6944773888,0.6135629994,0.7660435681
8,0.7479443936,0.5928509436,0.7813010345,0.5694444444,0.7474565728,0.660567717,0.8439266304,0.6942462627,0.6306113819,0.7667929348
9,0.756037652,0.6022178411,0.768446761,0.5972222222,0.7382772367,0.6416795471,0.8435887463,0.6856304255,0.6125888667,0.7569853283
10,0.748580942,0.5935876658,0.7928444298,0.5833333333,0.7342900405,0.6572389858,0.8096363044,0.6795744242,0.6037071627,0.7466268524
11,0.7723151045,0.6210568823,0.8078778536,0.6666666667,0.7384211664,0.6449037575,0.7898435939,0.6796848924,0.6132125029,0.7493637587
12,0.7724969755,0.6212673744,0.8074754195,0.7083333333,0.7347604297,0.6509275744,0.8033536548,0.6777798967,0.6086681067,0.7593478228
13,0.768313943,0.6164260565,0.8254951991,0.6805555556,0.7474731847,0.6725243675,0.8134998944,0.6680656803,0.5981182239,0.74561363
14,0.7391236512,0.5826420777,0.8298266857,0.5833333333,0.7458265502,0.6716816479,0.8206826729,0.6689243401,0.5960358794,0.7521806169
15,0.7789533952,0.6287398432,0.8303211334,0.625,0.7344877945,0.662787959,0.814320151,0.671730815,0.6006433037,0.7505159822
16,0.7828636212,0.6332654229,0.846730306,0.6666666667,0.7127520806,0.6500121323,0.8273137833,0.6767836124,0.6079438563,0.7544530979
17,0.7634943621,0.6108480164,0.85905627,0.625,0.7252654988,0.6587086452,0.8186733993,0.6759505338,0.6043989862,0.7578282257
18,0.7461256838,0.5907460228,0.8567540034,0.5694444444,0.7381267748,0.6590050013,0.8179709586,0.6785649166,0.6054815055,0.7603512408
19,0.7530367809,0.5987447218,0.8530228145,0.5555555556,0.7421709195,0.6333965002,0.8193012737,0.6824635099,0.6126898853,0.7617574417
20,0.7633124911,0.6106375243,0.8706685031,0.5972222222,0.7553514712,0.6338263052,0.8123763785,0.6800703772,0.6023045489,0.7473739651
21,0.7616756523,0.6087430956,0.8559014452,0.5833333333,0.7547597708,0.6345570288,0.8345262339,0.6880374711,0.6166547676,0.7619359725
22,0.748580942,0.5935876658,0.842640243,0.5555555556,0.753540893,0.6436365497,0.8527213412,0.6887250277,0.6184376188,0.759549115
23,0.7476715871,0.5925352054,0.8364234744,0.5555555556,0.7605702605,0.6586864527,0.864934628,0.6883811725,0.6230503768,0.7555477323
24,0.7451253934,0.5895883163,0.8360252571,0.5416666667,0.7596706293,0.6618676809,0.873524806,0.6874228168,0.6277872041,0.7534371201
25,0.7453981999,0.5899040544,0.8206518192,0.5138888889,0.768083773,0.6514045647,0.8784627531,0.6919657631,0.6236202565,0.754000749
26,0.7369411994,0.5805371569,0.8274282546,0.5138888889,0.7705698588,0.6560319336,0.8800253847,0.6909771218,0.6315772275,0.7486769925
27,0.7502177808,0.5968502931,0.8052266357,0.6666666667,0.7964343824,0.6454385212,0.9878058067,0.7305910847,0.6543549071,0.8082477433
