layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.529541254,0.1950799823,0.7286834121
2,-0.4990279675,0.2440755367,0.7185764909
3,-0.8614814281,-0.5445439816,0.8950140476
4,-0.9357583523,-0.5879062414,0.8354005218
5,-0.9327822924,-0.5037789345,0.7812758088
6,-0.9260056019,-0.476572752,0.7731912136
7,-0.8988662958,-0.3909649849,0.7547680736
8,-0.8775883913,-0.281837225,0.7073175311
9,-0.8788797855,-0.3060159683,0.7231090069
10,-0.8670983315,-0.2741801739,0.7167884707
11,-0.8710926771,-0.2392724752,0.6852812171
12,-0.8695741892,-0.2060769796,0.6624025702
13,-0.8590013981,-0.17773211,0.6564941406
14,-0.8530135155,-0.1778535843,0.6652796268
15,-0.8476449251,-0.1899973154,0.6819501519
16,-0.8329492807,-0.1610655785,0.6802843213
17,-0.8221107721,-0.1534154415,0.6887121201
18,-0.805208683,-0.1166393757,0.6828631163
19,-0.7496080399,-0.06720232964,0.710760951
20,-0.7071762085,-0.04434156418,0.7376993895
21,-0.6498794556,0.02147144079,0.7459082603
22,-0.585952282,0.08958780766,0.7545928955
23,-0.5526981354,0.08613651991,0.7826766968
24,-0.5104484558,0.1305046082,0.7859382629
25,-0.4812283516,0.1559903622,0.7907976508
26,-0.40216887,0.2074594498,0.8122124076
27,-0.6898732185,-0.3457038403,0.9177872539
