level,valence,markedness,se_valence,se_markedness
negative,-27.01190639,-8.069083196,0.9875270685,1.094210416
neutral,8.919669927,16.13816639,0.800170801,1.002273756
positive,18.09223646,-8.069083196,0.7723131535,1.077921323
