row,MeanDiff_mean,MeanDiff_std,KMeans_mean,KMeans_std,LogReg_mean,LogReg_std,PCA_mean,PCA_std,Random_mean,Random_std,n_seeds
MeanDiff,1,0,0.8751517621,1.359739956e-16,0.3683410048,0,0.8791009475,0,0.009852059636,0.004420931686,3
KMeans,0.8751517621,1.359739956e-16,1,0,0.00645721773,0,0.9998340717,0,0.004121826271,0.003270481841,3
LogReg,0.3683410048,0,0.00645721773,0,1,0,0.008694507459,0,-0.001453797072,0.02356933315,3
PCA,0.8791009475,0,0.9998340717,0,0.008694507459,0,1,0,0.004337702827,0.003087946454,3
Random,0.009852059636,0.004420931686,0.004121826271,0.003270481841,-0.001453797072,0.02356933315,0.004337702827,0.003087946454,1,0,3
