component,variance_ratio,cumulative
1,0.8809852849,0.8809852849
2,0.01972844606,0.900713731
3,0.01238835353,0.9131020845
4,0.0060907152,0.9191927997
5,0.005784000033,0.9249767997
6,0.003851093394,0.9288278931
7,0.003096041951,0.9319239351
8,0.002980898307,0.9349048334
