component,variance_ratio,cumulative
1,0.1581434114,0.1581434114
2,0.1052572421,0.2634006535
3,0.06228618859,0.3256868421
4,0.04515425738,0.3708410995
5,0.0382883326,0.4091294321
6,0.0282266809,0.437356113
7,0.02738838666,0.4647444996
8,0.02387394788,0.4886184475
