layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.8689135807,0.6289246421,0.004221145934,3
2,0.8807147809,0.6405408561,0.00213301852,3
3,0.5011995921,0.4983212357,0,3
4,0.4677685043,0.4931630319,0,3
5,0.4677685043,0.4821891954,0,3
6,0.4702075287,0.4815692709,6.798699778e-17,3
7,0.4844080707,0.4753102316,0,3
8,0.4846248728,0.4606201034,0,3
9,0.4965451206,0.4623077851,0,3
10,0.4964289766,0.4559933547,6.798699778e-17,3
11,0.4940480242,0.4468798423,0,3
12,0.4941033952,0.4386201697,0,3
13,0.4964843476,0.4323713058,0,3
14,0.5012489534,0.429388339,0,3
15,0.5037460498,0.430150146,6.798699778e-17,3
16,0.498868001,0.4242022195,0,3
17,0.5085660265,0.4229184004,0,3
18,0.5205896335,0.4130014027,0,3
19,0.5541765479,0.3935711921,0,3
20,0.595674198,0.3886858668,0,3
21,0.6197879921,0.373919245,0,3
22,0.6379070218,0.3590022072,6.798699778e-17,3
23,0.6769672231,0.3550769768,0,3
24,0.7007604507,0.342456011,6.798699778e-17,3
25,0.7560786763,0.3274030585,0,3
26,0.9243176989,0.06719121179,0.1893982908,3
27,0.7857698368,0.5670398375,0,3
