layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.5723631382,0.2342155576,0.6631351709
2,-0.5856831074,0.2535618544,0.6355442405
3,-0.5408653021,0.2677532434,0.665579915
4,-0.4656704664,0.2749487162,0.7228153348
5,-0.3806785345,0.3887550235,0.7039803863
6,-0.3874490261,0.3437387943,0.7325347662
7,-0.3585846424,0.3700708151,0.7345204949
8,-0.3493900299,0.3720207214,0.7397449613
9,-0.3018637896,0.4209055901,0.7377327681
10,-0.2973639965,0.4101840854,0.7487735748
11,-0.2980518341,0.4281923771,0.7349911928
12,-0.2725319862,0.4042884707,0.7698282599
13,-0.2891483307,0.3974044323,0.7635369897
14,-0.2709414959,0.3977462649,0.7754113674
15,-0.3157471418,0.3639321327,0.7688664198
16,-0.302292347,0.3725731373,0.7719604969
17,-0.2735420465,0.3601702452,0.7987846732
18,-0.26531744,0.3530661464,0.8083928823
19,-0.2888919115,0.3408408165,0.8015697598
20,-0.2900488377,0.3376382589,0.8028807044
21,-0.2959122658,0.3414880037,0.7967429757
22,-0.2907793522,0.3350044489,0.8040910363
23,-0.3086391687,0.3307757378,0.7955464125
24,-0.3535143137,0.303837657,0.7837947011
25,-0.4332416058,0.2913935184,0.7359214425
