method,raw_mean,raw_sd,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.9023837434,0.01853141941,0.9478936067,0,0.02239452987,0,0.8,3
KMeans,0.4620575273,0.03500224876,0.5049692534,0.01887260377,0.05470763006,0.003635661061,0.78,3
LogReg,0.9577539863,0.01865339897,0.9884099974,1.359739956e-16,0.007040439389,1.06229684e-18,0.89,3
PCA,0.4620575273,0.03500224876,0.5096641052,0,0.06508003513,0,0.81,3
