layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.0993254785,0.3151594493,0.01862912293,0.1327193327
2,0.1051837394,0.324320427,0.02117236787,0.1491453779
3,0.1079491902,0.3285562208,0.03585782211,0.1546347022
4,0.154409392,0.3929496049,0.07816703737,0.2182820739
5,0.1399486077,0.3740970565,0.06354236359,0.2029326476
6,0.1485420248,0.3854115006,0.05944731986,0.207012249
7,0.1624565983,0.4030590506,0.07775087216,0.2086211913
8,0.1548949259,0.3935669269,0.07955542179,0.2072002523
9,0.1534996463,0.3917903091,0.07291200259,0.2199845317
10,0.1590448648,0.3988042939,0.09128209174,0.2053657796
11,0.1584361252,0.3980403563,0.08200890596,0.2165540103
12,0.1739698082,0.417096881,0.09171899259,0.2474120961
13,0.1820678241,0.4266940638,0.08953569306,0.2664380761
14,0.1980805294,0.4450623883,0.1046300706,0.2761449559
15,0.2132735164,0.4618154571,0.09754957865,0.2807171836
16,0.2321847646,0.4818555433,0.1071011303,0.3106282797
17,0.2641313453,0.5139371025,0.1275123362,0.3673611354
18,0.2652783246,0.5150517689,0.1316785774,0.3665098324
19,0.2628153057,0.5126551528,0.1388407637,0.3744878682
20,0.2572574641,0.5072055442,0.1345447696,0.3503836763
21,0.2530237,0.5030146121,0.1330941922,0.3437141112
22,0.2446685603,0.4946398289,0.1210015876,0.3357311791
23,0.239720486,0.4896125877,0.09414562119,0.3700018436
