panel,level,pc1,pc2
raw,negative,-4.904961368,-10.7382846
raw,neutral,2.283765703,7.126140025
raw,positive,2.621195666,3.612144572
centered,negative,-15.09455592,-0.4022790456
centered,neutral,6.804806574,8.177101796
centered,positive,8.289749347,-7.774822751
