metric,value
span,9.088943215
midpoint_residual,2.042084778
valence_offset,0.7503431034
markedness,1.899235496
markedness_ratio,3.798470992
apex_angle_deg,25.84950266
effective_vertices,13.92676698
step_cosine,-0.8999424026
