level,valence,markedness,se_valence,se_markedness
negative,-14.32825625,-5.121210976,0.4789233069,0.548490891
neutral,3.837359818,10.24242195,0.435521217,0.538337731
positive,10.49089644,-5.121210976,0.3966714573,0.4815106814
