layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.9105991125,-0.123303771,0.5224172473
2,-0.969452858,-0.3854572773,0.6000063419
3,-0.963132143,-0.3194350004,0.56259197
4,-0.9574795961,-0.3420130014,0.5985736847
5,-0.9578914642,-0.3290328979,0.5863205194
6,-0.9504516125,-0.3222467899,0.6005691886
7,-0.9410171509,-0.2538619041,0.5661628246
8,-0.9326249361,-0.2025219202,0.5422465205
9,-0.9247694016,-0.1778496504,0.538931191
10,-0.9142850637,-0.154317379,0.5413091779
11,-0.904035449,-0.132558465,0.5435227156
12,-0.9064296484,-0.1479477882,0.551813364
13,-0.8983919621,-0.106295228,0.5322009921
14,-0.8999423981,-0.13068223,0.5498762131
15,-0.8929226398,-0.1224713326,0.556178391
16,-0.8822140694,-0.1179094315,0.5715854764
17,-0.8594551086,-0.05904304981,0.5610643625
18,-0.8429816961,-0.02970647812,0.5627470016
19,-0.8194944859,-0.03833913803,0.6040844321
20,-0.8070141077,-0.02876722813,0.6135032773
21,-0.7452635765,0.01773989201,0.6534441113
22,-0.724517107,0.03005248308,0.6671720147
23,-0.6994524002,0.04505997896,0.6824358702
24,-0.6527376175,0.075717628,0.7059856057
25,-0.6435650587,0.06865292788,0.7194029093
26,-0.4883354902,0.1664639711,0.7791900635
27,-0.5794655085,-0.005556225777,0.8182037473
