layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.8230571071,0.6797841726,0.8425775386,0.7222222222,0.8065372455,0.7245761104,0.9013480219,0.6213559451,0.5855340763,0.6598945176
2,0.2647132073,0.1989150157,0.8555563882,0.25,0.7497954885,0.5755505174,1.172461217,0.8199980569,0.7498330042,0.9075892479
3,0.1804160093,0.1327152565,0.884585109,0.1944444444,0.8323696506,0.5418550807,1.224124338,0.8663066853,0.8156022155,0.9440399111
4,0.2808997242,0.2092291276,0.8918164195,0.2361111111,0.8318674773,0.5359940059,1.121766665,0.838371385,0.7732758397,0.9241724292
5,0.346009534,0.2583790283,0.8949261561,0.2777777778,0.8398937061,0.5409757888,1.1523429,0.8259273017,0.7454164977,0.9168444064
6,0.3758363743,0.281322665,0.8914282668,0.2916666667,0.806904982,0.5754217973,1.107986856,0.8139745393,0.7331962773,0.9057323949
7,0.4039354403,0.3041610557,0.8995540225,0.2916666667,0.8285364096,0.5726744615,1.073666627,0.8019249648,0.7218009641,0.8932301383
8,0.4686815081,0.3587837505,0.8954792986,0.3194444444,0.7999824402,0.5834329111,1.057460607,0.7907479576,0.7097761031,0.8843882201
9,0.489323864,0.3763598392,0.8962610737,0.3472222222,0.8000399797,0.5958542143,1.026336775,0.7880420836,0.7088711963,0.8814059384
10,0.5434304797,0.4227733428,0.8954179084,0.3888888889,0.7975403244,0.5966466757,0.9920059913,0.7778499996,0.6934143921,0.8741613599
11,0.5307904468,0.4133011992,0.8879011044,0.4027777778,0.7979377727,0.5704882058,0.9967072203,0.7781071932,0.7033190004,0.8762673039
12,0.5842605141,0.4563468296,0.8757251246,0.4583333333,0.7817027174,0.5962505088,0.9833627699,0.764996881,0.6869705104,0.8558021849
13,0.5759853847,0.4471904241,0.8741793136,0.4583333333,0.7733219446,0.6163846914,0.9823163212,0.7595108446,0.6750101801,0.8486013965
14,0.632820065,0.4972875392,0.8781137078,0.5277777778,0.7647081954,0.6202453186,0.9515481377,0.7415361984,0.6634557339,0.8269156896
15,0.6593732277,0.5182315012,0.8964490778,0.5416666667,0.7760306502,0.6243154423,0.9361778724,0.7299699637,0.6419798223,0.8049679431
16,0.7072052947,0.5627505761,0.8988739906,0.5972222222,0.7719232494,0.6537851015,0.9260916931,0.7081012512,0.6242989762,0.7701970217
17,0.7111155207,0.559908933,0.893296258,0.6111111111,0.7833923081,0.6758004949,0.9216588542,0.6954807727,0.6283329299,0.7558214183
18,0.744125103,0.5947453723,0.89544177,0.6111111111,0.7780471421,0.6934119845,0.893801458,0.6806232449,0.615949035,0.7383379214
19,0.7552192326,0.6021125951,0.8884370782,0.6805555556,0.78477066,0.7024117676,0.9031952942,0.6695128885,0.604558133,0.7342877059
20,0.7431248127,0.5875886416,0.8842200094,0.6388888889,0.8152596022,0.715091268,0.9158177151,0.6592161597,0.6021754293,0.7141405719
21,0.7774074919,0.6269506605,0.8653442725,0.6944444444,0.8150747621,0.689204932,0.9382090759,0.6560590602,0.6146640535,0.6965832868
22,0.7765890725,0.6260034462,0.8619666389,0.7222222222,0.8340280983,0.6976058259,0.9340736554,0.653910454,0.613016993,0.6934876408
23,0.6172700965,0.441612384,0.8403775946,0.2916666667,0.8961473018,0.737917021,1.038981844,0.6905820226,0.659973216,0.7423123825
