row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1475675747,1.164928566e-06,0.4286452761,3.760071449e-06,3
neutral-negative,-0.1475675747,1.164928566e-06,1,0,0.8543074631,4.87554433e-06,3
positive-negative,0.4286452761,3.760071449e-06,0.8543074631,4.87554433e-06,1,0,3
