row,col,cosine_mean,cosine_std,n_seeds
positive-neutral,positive-neutral,1,0,3
positive-neutral,neutral-negative,-0.5550085727,0.0008854390247,3
positive-neutral,positive-negative,0.1013624991,0.0001927995241,3
neutral-negative,positive-neutral,-0.5550085727,0.0008854390247,3
neutral-negative,neutral-negative,1,0,3
neutral-negative,positive-negative,0.8734755484,0.001080304632,3
positive-negative,positive-neutral,0.1013624991,0.0001927995241,3
positive-negative,neutral-negative,0.8734755484,0.001080304632,3
positive-negative,positive-negative,1,0,3
