draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
117,1.845285382,1.140312012,1.450781395,2.90156279,24.69411789,14.57837051,-0.9085510719
118,2.078525467,1.118567381,1.751877602,3.503755204,23.28745021,15.45897025,-0.9185329977
119,1.930997852,1.5754809,1.116518088,2.233036176,17.79421826,20.23129057,-0.9521602357
120,2.187718923,0.8252127137,2.02611403,4.05222806,24.06854505,14.95728135,-0.91305821
121,2.228860525,0.03665649812,2.228559073,4.457118146,25.28467283,14.23787456,-0.9041968396
122,1.273757721,-0.2103672845,1.25626603,2.512532059,42.46910706,8.476749922,-0.7376414967
123,1.777565646,0.07921142766,1.775799869,3.551599738,31.39551263,11.46660684,-0.8535915998
124,1.595551442,0.5403393519,1.501272057,3.002544114,33.18169785,10.84935441,-0.8369391804
125,2.006904061,0.9147267077,1.786319949,3.572639899,25.30776495,14.22488318,-0.9040246241
126,1.308238084,-0.6861484173,1.113861407,2.227722814,37.31256915,9.648223325,-0.7953405242
127,1.89267981,0.9077236221,1.660805434,3.321610868,26.49192157,13.58904823,-0.8949972644
128,1.513583147,1.089587354,1.05058714,2.101174281,27.23750884,13.21706776,-0.8891169423
129,1.568814334,0.6380015781,1.433224477,2.866448954,32.95018732,10.92558281,-0.8391437576
130,1.706035801,1.127701354,1.280174915,2.560349829,25.69536175,14.01031064,-0.9011121243
131,1.389091009,1.018789892,0.9442674333,1.888534867,29.34498035,12.26785623,-0.8716848115
132,1.664832202,0.6801955298,1.519539504,3.039079008,31.07289048,11.58566179,-0.8565113867
133,2.330417662,-0.730428082,2.212989222,4.425978444,23.12966333,15.56442889,-0.9196182522
134,1.945376711,1.060101733,1.631157523,3.262315046,24.77319201,14.53183747,-0.9079736356
135,1.553090849,0.7674846258,1.350206849,2.700413698,31.98441377,11.2554822,-0.8481922192
136,1.899362861,0.5523849282,1.817264474,3.634528949,28.42413365,12.66529367,-0.8794481564
137,2.260298068,0.3919062849,2.226063077,4.452126154,24.61426311,14.62566636,-0.9091324527
138,1.572984562,-0.7429831377,1.386454647,2.772909294,31.93641244,11.27239951,-0.8486356847
139,1.696702612,0.0009314946289,1.696702356,3.393404713,32.83935198,10.96245749,-0.8401943484
140,2.57393402,1.580916307,2.031216377,4.062432754,17.67267803,20.37042712,-0.9528063536
141,1.566542277,0.9322793476,1.258932057,2.517864115,29.73453758,12.10713296,-0.8683326969
142,1.860021855,0.2642698618,1.841152558,3.682305116,29.83964832,12.06448535,-0.8674213427
143,1.458573895,1.111258268,0.9447448691,1.889489738,26.7119829,13.47709758,-0.8932773977
144,1.483106545,0.4624640733,1.409160036,2.818320071,35.85912367,10.03928605,-0.8104597679
145,1.537833084,-0.1230529678,1.532902006,3.065804012,35.93460558,10.01819817,-0.8096873348
146,1.613720213,0.1025877894,1.610456045,3.22091209,34.37638049,10.47230671,-0.8253463291
147,2.343144021,0.6748137461,2.243869495,4.48773899,23.18026536,15.53045206,-0.9192709719
148,1.904584809,1.077101857,1.570762517,3.141525033,24.94193395,14.43352391,-0.9067356214
149,1.860739647,0.4131979329,1.81428209,3.62856418,29.45702645,12.22119281,-0.8707247835
150,2.622024262,0.24646378,2.610415069,5.220830139,21.50564286,16.73979254,-0.930381468
151,1.564926073,0.8381608218,1.32154457,2.64308914,31.00489878,11.61106838,-0.8571232619
152,1.407364314,0.8424604489,1.127357399,2.254714797,33.08013156,10.8826653,-0.8379080379
153,1.264200052,-0.9231979932,0.8636592132,1.727318426,32.64365944,11.02817534,-0.8420416086
154,1.450119544,-0.5675235719,1.334452579,2.668905159,35.76209296,10.06652492,-0.811450651
155,1.340898537,1.158164987,0.6757682663,1.351536533,23.58320871,15.26509833,-0.9164800178
156,2.56291508,0.7062063009,2.463697703,4.927395405,21.30160851,16.90013221,-0.9316810294
157,2.194497981,-0.268434639,2.178018418,4.356036837,25.5023853,14.1163266,-0.9025673608
158,0.851385958,-0.2102929251,0.8250060213,1.650012043,60.07607349,5.992402284,-0.4988497092
159,1.898359339,1.089036133,1.554917515,3.109835031,24.87399407,14.47294708,-0.9072350244
160,1.970666109,0.4332995859,1.922440215,3.844880431,27.88260465,12.91127585,-0.8839076557
161,1.315180363,-0.03608587973,1.314685208,2.629370416,41.62049058,8.649585697,-0.747560604
162,1.300102033,1.080545636,0.7229705552,1.44594111,26.65529674,13.50575848,-0.8937216836
163,1.569722734,0.8978330272,1.287604488,2.575208975,30.18083144,11.92810081,-0.8644430412
164,1.580826254,-0.2141184905,1.566258253,3.132516507,34.85415169,10.32875519,-0.8206094467
165,2.357603826,0.7171469032,2.245884262,4.491768524,22.93271206,15.69809968,-0.9209630917
166,1.298508983,0.4038470273,1.234112295,2.46822459,40.6736057,8.850948762,-0.7584346563
167,1.461724653,0.9086613093,1.144977548,2.289955097,31.25303905,11.51887979,-0.854884353
168,1.967511937,1.231854261,1.534157195,3.068314391,22.96097511,15.67877663,-0.9207707719
169,2.157886326,0.0296144554,2.157683105,4.31536621,26.089241,13.79879161,-0.8981101717
170,1.648310368,1.166459869,1.164602268,2.329204535,25.27135022,14.24538051,-0.9042961296
171,1.828258552,1.222492696,1.359426696,2.718853392,23.72952676,15.17097259,-0.9154553323
172,2.261005386,-0.01843542768,2.260930227,4.521860454,24.93874387,14.4353702,-0.9067590991
173,1.615907499,0.648928403,1.479881405,2.95976281,32.07788599,11.22268469,-0.8473269581
174,1.811275544,1.06052322,1.468335655,2.93667131,25.84945717,13.92679148,-0.8999427487
175,1.259901915,-0.312244375,1.220596693,2.441193385,42.38658086,8.493254061,-0.7386132476
176,1.815318963,-0.4972257644,1.745895036,3.491790073,29.82532154,12.0702806,-0.8675457338
177,2.273401416,0.6845808382,2.167879857,4.335759714,23.7866114,15.13456431,-0.9150539413
178,1.915316815,1.079952855,1.581815518,3.163631037,24.83141657,14.49776331,-0.907547347
179,1.951769063,0.584226173,1.862278779,3.724557559,27.61855688,13.03471436,-0.8860534811
180,1.624805832,-0.05815550445,1.623764739,3.247529478,34.19223429,10.52870652,-0.8271567499
181,2.455206064,1.021011732,2.232839416,4.465678833,21.12830924,17.03875099,-0.9327755503
182,2.322343512,0.4378340981,2.280697414,4.561394827,23.91405602,15.05390803,-0.9141545368
183,1.498814112,1.07284781,1.046633325,2.093266651,27.6657236,13.01249175,-0.8856715526
184,1.566519009,-0.117929366,1.562073773,3.124147545,35.32713626,10.19046654,-0.8158638153
185,1.772494155,0.7837030107,1.589825499,3.179650999,28.80122389,12.49946882,-0.8762963891
186,1.384234285,0.478347762,1.298956494,2.597912989,37.94129188,9.488343231,-0.7886411774
187,1.582499093,0.8155007976,1.356193876,2.712387751,31.03120837,11.60122402,-0.8568866381
188,1.634613861,1.232691321,1.073515059,2.147030118,23.9049239,15.0596589,-0.9142191347
189,1.64404053,1.103972607,1.218242073,2.436484146,26.41175286,13.63029564,-0.8956205351
190,1.422216855,0.2909835299,1.392131232,2.784262464,38.14313317,9.438133947,-0.7864702847
191,1.50069945,1.154766963,0.9584425386,1.916885077,25.58131895,14.0727693,-0.9019733582
192,1.394659392,-0.07021750604,1.392890635,2.78578127,39.41090702,9.134527146,-0.7726127301
193,1.419241842,0.3417704298,1.37747609,2.75495218,37.98174391,9.478237779,-0.7882068812
194,1.728408902,1.161110733,1.280319959,2.560639917,25.06616568,14.36198917,-0.9058191395
195,1.462310074,-0.2633734535,1.438396738,2.876793475,37.29729206,9.652175269,-0.7955021205
196,1.483564317,-0.1914307715,1.471161902,2.942323803,37.01883484,9.724779333,-0.7984376323
197,2.00641289,1.402900911,1.434420342,2.868840685,20.80224426,17.30582506,-0.9348117662
