layer,accuracy_mean,agreement_mean
1,0.9475649535,0.3362813875
2,0.9422796087,0.3454277639
3,0.9424459059,0.3649492632
4,0.9544805379,0.4616929444
5,0.9594832389,0.3069063802
6,0.9594830548,0.7291284091
7,0.9641398222,0.3610455481
8,0.9596024891,-0.02182161917
9,0.9665207746,0.3851412035
10,0.9569838282,0.3866118284
11,0.961748434,0.3948469142
12,0.9618090229,0.6994172072
13,0.9545500217,0.5501288576
14,0.9616402089,0.4344826882
15,0.9641346043,0.4352578493
16,0.9641899753,0.3877660557
17,0.9641346043,0.7141080536
18,0.9594280705,0.411183321
19,0.9571024891,0.4079338551
20,0.9665736287,0.4024012624
21,0.9571578601,-0.02134985987
22,0.9548851328,-0.03393616237
