row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7551772542
MeanDiff,LogReg,0.4053368308
MeanDiff,PCA,0.7165658283
MeanDiff,Random,0.03011671989
KMeans,MeanDiff,0.7551772542
KMeans,KMeans,1
KMeans,LogReg,0.07860599121
KMeans,PCA,0.97997177
KMeans,Random,0.002138507565
LogReg,MeanDiff,0.4053368308
LogReg,KMeans,0.07860599121
LogReg,LogReg,1
LogReg,PCA,0.06703007505
LogReg,Random,0.02032667945
PCA,MeanDiff,0.7165658283
PCA,KMeans,0.97997177
PCA,LogReg,0.06703007505
PCA,PCA,1
PCA,Random,-0.00789881478
Random,MeanDiff,0.03011671989
Random,KMeans,0.002138507565
Random,LogReg,0.02032667945
Random,PCA,-0.00789881478
Random,Random,1
