layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.6673755507,0.5298085656,0.7804083578,0.4861111111,0.7555259524,0.5824076882,0.9190964775,0.725110948,0.6327447165,0.8202033111
2,0.7663133622,0.6169522867,0.807565907,0.5972222222,0.7710591584,0.6307382516,0.8896818346,0.7007444201,0.612601328,0.7838890015
3,0.8102352032,0.664944481,0.840980803,0.75,0.7649786931,0.6697113021,0.9137899921,0.6681722712,0.605047818,0.738816024
4,0.8411532693,0.7007281346,0.8446274223,0.7916666667,0.7673213161,0.6777374763,0.8532652855,0.6611727271,0.5964330038,0.720275758
5,0.8402439145,0.6996756742,0.8329071999,0.7638888889,0.7395596364,0.6638645368,0.8212020142,0.6644799886,0.5958995035,0.7302904886
6,0.8406985919,0.7002019044,0.847508114,0.75,0.7416521486,0.6756475201,0.8214289584,0.6614173033,0.6057534832,0.723080512
7,0.8406076564,0.7000966584,0.8749469506,0.7916666667,0.7521667989,0.6677617391,0.8111632739,0.6563806022,0.6006794865,0.7209301245
8,0.8589766251,0.7213563584,0.8852704722,0.8472222222,0.7502417769,0.6717359332,0.8165673984,0.6483081448,0.5885352732,0.7025080876
9,0.8511561731,0.712305199,0.8888868922,0.7916666667,0.7375284963,0.6529631783,0.8030711627,0.6561644237,0.5958216416,0.7165742337
10,0.8472459471,0.7077796193,0.87780477,0.7777777778,0.7299695415,0.6565331993,0.8048646535,0.6595251293,0.5968524471,0.7267059658
11,0.8366974304,0.6955710786,0.8742586447,0.8055555556,0.7359363781,0.6614450426,0.7933343083,0.661305281,0.5982801038,0.7241092557
12,0.8382433337,0.6973602613,0.8757104048,0.8333333333,0.7273611352,0.6589352546,0.7980035219,0.6652525046,0.5997445047,0.7244231718
13,0.8537023668,0.7152520881,0.8800565393,0.8611111111,0.7337021508,0.6537483817,0.7763707915,0.6641867912,0.5992849481,0.7211343011
14,0.8469731406,0.7074638812,0.8782052135,0.8333333333,0.7114262725,0.6523533033,0.7785175888,0.6655797605,0.5979785221,0.7301200881
15,0.8287860429,0.6864146732,0.8742772116,0.8194444444,0.7284663247,0.6597187805,0.7925959195,0.6615106441,0.5984020037,0.7153079062
16,0.8220568167,0.6786264662,0.8710830558,0.7916666667,0.7340792036,0.6505064103,0.812622686,0.6603629758,0.5970511753,0.7138831032
17,0.812053913,0.6670494018,0.8837003044,0.7777777778,0.7337659996,0.6602210925,0.8088944491,0.6610911349,0.5985019652,0.7143776811
18,0.8307866237,0.688730086,0.8723444607,0.8194444444,0.7177065826,0.6611481795,0.7984705656,0.6643095418,0.6120145343,0.7053072768
19,0.8045062675,0.6583139805,0.8640324921,0.7222222222,0.720527681,0.663355453,0.8134535514,0.6703294592,0.6153614781,0.7210480406
20,0.7922299765,0.6441057651,0.8625688601,0.7222222222,0.7232009985,0.6576137102,0.8185274351,0.6757100019,0.6218684184,0.7287261321
21,0.8008688479,0.6541041389,0.8686671824,0.7222222222,0.7263407635,0.6470320852,0.8056887652,0.6764264505,0.6261817447,0.7312260165
22,0.7941396218,0.6463159319,0.8665840587,0.6805555556,0.7294444254,0.6544216546,0.8257589598,0.68250661,0.6273436052,0.7396940107
23,0.7760434595,0.6253719699,0.8641214462,0.6666666667,0.7265879255,0.6529740155,0.8358247795,0.6839073833,0.6261838578,0.7410444065
24,0.7815905243,0.6317919784,0.8580111397,0.6666666667,0.7248871153,0.6411417867,0.8296052459,0.6857687232,0.6296222903,0.7454016075
25,0.7758615885,0.6251614778,0.8502088599,0.6666666667,0.7345046574,0.6389834012,0.8273728962,0.6857797476,0.6304489056,0.7465106005
26,0.7675864591,0.6155840882,0.8483968632,0.6666666667,0.7289767089,0.6365623269,0.8255080442,0.6848525812,0.6218785256,0.7394151413
27,0.6894728744,0.5251777398,0.8226131147,0.5416666667,0.7825171048,0.6445263198,0.9535940259,0.7045692523,0.6506698663,0.7732711964
