panel,level,pc1,pc2
raw,negative,-2.615381914,9.57940858
raw,neutral,2.349991903,-5.558608493
raw,positive,0.2653900109,-4.020800087
centered,negative,10.63910913,-1.430165382
centered,neutral,-6.041201011,-3.834964393
centered,positive,-4.597908119,5.265129775
