intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,24.03131482,0.6862400167,0.4342692025,0.5313526327,1.062705265,67.42347599,5.339386538,-0.3839170205
bad-news-delivery,4,26.3414204,0.7761555621,0.4099924905,0.6590323318,1.318064664,61.86436197,5.819182297,-0.4715604739
complaint,7,29.80991371,0.7153883336,0.1909386376,0.6894366574,1.378873315,69.20813091,5.201700946,-0.3549742967
correction,9,22.24487491,0.7331016511,0.2228723304,0.6984024307,1.396804861,67.62964673,5.323109279,-0.3805919347
criticism-or-feedback,8,20.72016923,0.7496722822,0.2455920732,0.7083029467,1.416605893,66.22643533,5.435895775,-0.403123106
disagreement,6,23.79343401,0.5380114269,0.1072688475,0.5272093416,1.054418683,85.71996841,4.199721567,-0.07463118888
inquiry-sensitive,4,22.45851421,0.6863012476,0.1948313033,0.6580654722,1.316130944,71.43552196,5.039509618,-0.3183716551
refusal,8,22.91901296,0.6259267035,0.1508695813,0.6074723101,1.21494462,76.86233728,4.68369832,-0.2272914903
reminder,6,26.7346518,0.8226858941,0.2759431802,0.7750273812,1.550054762,61.15816766,5.886376486,-0.4823933478
request,12,21.29109387,0.5575154964,0.2699228108,0.4878167739,0.9756335478,82.89274394,4.342961553,-0.1237271467
ALL,72,16.91133788,0.6698450605,0.3224511288,0.5871266257,1.174253251,71.30341417,5.048846597,-0.3205565471
