metric,value
span,3.034567474
midpoint_residual,0.8235428728
valence_offset,0.4129084286
markedness,0.7125513967
markedness_ratio,1.425102793
apex_angle_deg,58.99534534
effective_vertices,6.102176331
step_cosine,-0.5151077087
