method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.5180837997,0.01257567669,0.6399500229,0.06781325613,
KMeans,0.51343012,0.00925838879,0.6039298912,0.07361349364,
LogReg,0.8956949284,0.03863456792,0.9621407454,0.01720485107,
PCA,0.51343012,0.00925838879,0.6039298912,0.07361349364,
