intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,4.870731875,0.6217202152,0.3410469487,0.5198297844,1.039659569,75.28337426,4.781932313,-0.2540386098
bad-news-delivery,4,5.681870875,0.7703419748,0.4849279004,0.5985580086,1.197116017,60.15465604,5.984574158,-0.4976605562
complaint,7,5.742539212,0.7855602129,0.1094601562,0.7778967298,1.55579346,64.7364488,5.561009395,-0.4267826434
correction,9,3.90410448,0.9470014502,0.2736274762,0.9066089295,1.813217859,54.49439253,6.606184293,-0.5807826294
criticism-or-feedback,8,3.837060153,0.8588046285,0.3066631181,0.8021864633,1.604372927,58.70999372,6.131835096,-0.5193700664
disagreement,6,4.760570906,0.6179755429,0.1477595265,0.6000507428,1.200101486,77.60327358,4.638979561,-0.2146795249
inquiry-sensitive,4,3.556258205,0.8708924271,0.3151558927,0.8118684517,1.623736903,57.94207929,6.213101159,-0.5307762911
refusal,8,4.287123087,0.7208984846,0.2407863977,0.679497267,1.358994534,68.3517147,5.266875917,-0.3689079794
reminder,6,4.917702189,1.01444685,0.4250214972,0.9211184172,1.842236834,49.77471684,7.232587604,-0.6457946685
request,12,3.768563906,0.6723092399,0.3122265703,0.5954110201,1.19082204,71.25993148,5.051927395,-0.3212753224
ALL,72,3.034567474,0.8235428728,0.4129084286,0.7125513967,1.425102793,58.99534534,6.102176331,-0.5151077087
