step,r_half_mean,r_half_std,R_full,n_seeds
positive-neutral,0.9837598976,5.506757174e-06,0.9918108799,3
neutral-negative,0.9934013658,1.08939234e-06,0.9966899749,3
positive-negative,0.9947660766,1.108975682e-06,0.9973760278,3
