step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9673257504,0.001447939964,0.9833911735,0.0007484997763,3
neutral-negative,0.9477071208,0.004804887793,0.9731473975,0.00253679101,3
positive-negative,0.5259014876,0.0141126342,0.6892244521,0.01215503114,3
