step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8253642862,0.0003427147078,0.9043282691,0.0002057245938,3
neutral-negative,0.9107451157,0.000124893684,0.9532879141,6.841569847e-05,3
positive-negative,0.9251136275,0.0002569663904,0.9611002721,0.0001386701771,3
