step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.747380273,0.00302135722,0.855427169,0.001978818129,3
neutral-negative,0.8522971061,0.0006086515791,0.9202595321,0.0003547515584,3
positive-negative,0.869166314,0.0004958636287,0.9300042062,0.0002838726887,3
