level,valence,markedness,se_valence,se_markedness
negative,-8.846622405,-4.87923518,0.5216525687,1.002602976
neutral,5.540783186,9.758470359,0.4808627479,1.006380697
positive,3.305839219,-4.87923518,0.4145805422,0.8254490468
