metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.7274839086,0,0.7489446839,3
kendall,0.5742223945,0,0.59400865,3
probe_r2,0.7218850706,0.03222953761,0.84272819,3
midpoint_residual,0.8249266614,0,0.7455755297,3
pc1_frac,0.7579930551,0,0.7579930551,3
