row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.7572989586,0.6734923747,0.7611685835,0.02530831911
KMeans,0.7572989586,1,0.3336827207,0.9912949691,0.01003573681
LogReg,0.6734923747,0.3336827207,1,0.3332568341,0.01480255471
PCA,0.7611685835,0.9912949691,0.3332568341,1,0.01145020436
Random,0.02530831911,0.01003573681,0.01480255471,0.01145020436,1
