step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8191411668,0.001949654244,0.9005792576,0.001178839147,3
neutral-negative,0.9097679014,0.0003100795228,0.9527523037,0.0001700216625,3
positive-negative,0.8774394102,0.00153069729,0.9347188115,0.0008685121224,3
