level,valence,markedness,se_valence,se_markedness
negative,-14.32434052,-5.117132404,0.4786757195,0.5485416545
neutral,3.839402583,10.23426481,0.4356598138,0.5381946074
positive,10.48493794,-5.117132404,0.3960638932,0.4810972914
