method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.5761551828,0.08662536473,0.6286522342,0.1298949626,0.8
KMeans,0.4943027307,0.02457526766,0.5039953542,0.04802048012,0.78
LogReg,0.9713677984,0.01852625914,1,0,0.89
PCA,0.4943027307,0.02457526766,0.5039953542,0.04802048012,0.81
