metric,point,mean,sd,ci_lo,ci_hi
midpoint_residual,0.6132179727,0.6208499858,0.03056815675,0.5604609199,0.6787583397
valence_offset,0.2966358309,0.2828945218,0.03453046784,0.2141058767,0.3464259581
markedness,0.53669681,0.5514154467,0.03330378483,0.4869540236,0.6165828813
markedness_ratio,1.07339362,1.102830893,0.06660756966,0.9739080473,1.233165763
apex_angle_deg,76.78429823,76.29283276,3.063332478,70.66853248,82.68402532
effective_vertices,4.688458556,4.726245872,0.1892985823,4.353924459,5.09420512
step_cosine,-0.2286176685,-0.2366258319,0.05193169916,-0.3310326895,-0.1273411545
