layer,accuracy_mean,agreement_mean
1,0.6697654652,0.3029296255
2,0.7551477706,0.2901796601
3,0.8009005581,0.2700168278
4,0.8089517327,0.2774050223
5,0.8874194481,0.295038446
6,0.8805721873,0.3073928635
7,0.9256125553,0.3118702111
8,0.9071803768,0.3171782857
9,0.9075737625,0.3378605008
10,0.9001376417,0.3498876306
11,0.9001376417,0.6531082749
12,0.8998497801,0.6459796833
13,0.9142626451,0.6416989538
14,0.9045036439,0.6251265139
15,0.928966662,0.67243781
16,0.9362229621,0.6847192951
17,0.9312285668,0.7210787166
18,0.9118292253,0.7598020494
19,0.9117682497,0.7494926847
20,0.92357831,0.7652143916
21,0.9239134211,0.7454190825
22,0.9308901653,0.7571327911
