level,valence,markedness,se_valence,se_markedness
negative,-8.799405173,-3.078040473,0.2984371211,0.5136838646
neutral,3.221122089,6.156080946,0.264555778,0.4356357147
positive,5.578283084,-3.078040473,0.2354597817,0.5074208408
