row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.9957601522,0.7866617735,0.9663124698,0.00648416021
KMeans,0.9957601522,1,0.7488940161,0.98073681,0.004643620684
LogReg,0.7866617735,0.7488940161,1,0.6690885284,0.00607191338
PCA,0.9663124698,0.98073681,0.6690885284,1,0.003927299274
Random,0.00648416021,0.004643620684,0.00607191338,0.003927299274,1
