metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.7746794272,0,0.8472459471,3
kendall,0.6304237799,0,0.7077796193,3
probe_r2,0.7553391274,0.004892385714,0.8581286457,3
midpoint_residual,0.613357487,0,0.7187474495,3
pc1_frac,0.7823242459,0,0.7823242459,3
