method,raw_mean,raw_sd,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.5181263858,0.01683788615,0.6133266463,0,0.04129618758,0,,3
KMeans,0.5181263858,0.01683788615,0.5948597473,0.001408171394,0.04688826794,0.002157233901,,3
LogReg,0.8864456411,0.04231826854,0.9602435505,0,0.02343224379,0,,3
PCA,0.5181263858,0.01683788615,0.5940467392,0,0.04813374751,0,,3
