method,raw_mean_mean,raw_mean_std,raw_sd_mean,raw_sd_std,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.8805194805,0,0.02438645756,0,0.9553030303,0,0.02320564376,4.249187361e-18,,3
KMeans,0.7584054834,0.002381772097,0.01901237571,0.00303760586,0.9513347763,0.001374643509,0.02579002385,0.001892526993,,3
LogReg,0.9364718615,0,0.02191818968,4.249187361e-18,0.9696969697,1.359739956e-16,0.01879194302,0,,3
PCA,0.76504329,0,0.03108604928,0,0.9386363636,0,0.02994453998,0,,3
