method,raw_mean,raw_sd,centered_mean_mean,centered_mean_std,centered_sd_mean,centered_sd_std,paper_ref,n_seeds
MeanDiff,0.8646103896,0.02593431307,0.9108225108,0,0.04656749214,0,,3
KMeans,0.625974026,0.06625056375,0.8401515152,0.00238095235,0.05631691455,0.004240523552,,3
LogReg,0.9348484848,0.02147552685,0.9534632035,0,0.02806558978,0,,3
PCA,0.6707792208,0.05190023051,0.8001082251,1.359739956e-16,0.05451968057,0,,3
