scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.6104885859,0.9754929824
politeness-apology-013,0.3505618113,0.8788142083
politeness-apology-043,0.5319399528,0.8653991724
politeness-apology-057,1.478996279,0.8176770545
politeness-apology-065,1.817558954,0.8867858631
politeness-apology-067,1.288034102,0.7672846779
politeness-apology-081,1.665214016,0.8766664608
politeness-apology-098,1.054079922,0.7748198501
politeness-bad-news-delivery-020,3.470782346,0.9478481375
politeness-bad-news-delivery-028,1.671683283,0.9565471394
politeness-bad-news-delivery-066,1.385335794,0.7864317893
politeness-bad-news-delivery-073,7.955361494,0.9895339528
politeness-complaint-030,0.4619302608,0.9747713296
politeness-complaint-032,0.8908797636,0.9926400895
politeness-complaint-040,2.144040539,0.9407318006
politeness-complaint-049,0.6797289673,0.6406529481
politeness-complaint-063,0.2399241557,0.929110104
politeness-complaint-072,1.979679079,0.9672461055
politeness-complaint-089,1.104437475,0.9644372217
politeness-correction-002,0.6781358056,0.9165027728
politeness-correction-005,1.513569506,0.8575390893
politeness-correction-007,0.9471892515,0.8573898635
politeness-correction-024,0.4449055193,0.8248241876
politeness-correction-027,0.4653579632,0.7782729447
politeness-correction-045,0.9212810238,0.6402153694
politeness-correction-051,0.2962374436,0.9041310798
politeness-correction-076,1.435676088,0.9319953773
politeness-correction-087,0.5676075535,0.8314912396
politeness-criticism-or-feedback-023,0.7254605395,0.9816811027
politeness-criticism-or-feedback-036,0.5399954262,0.8462133134
politeness-criticism-or-feedback-041,1.24164852,0.9977420288
politeness-criticism-or-feedback-050,0.5858558781,0.9964768295
politeness-criticism-or-feedback-054,0.6649076916,0.9980472504
politeness-criticism-or-feedback-071,0.5525058913,0.8788731259
politeness-criticism-or-feedback-099,0.6791764271,0.9939004701
politeness-criticism-or-feedback-100,0.8585061914,0.9128536235
politeness-disagreement-012,0.6640103188,0.9329821243
politeness-disagreement-035,0.8617323697,0.7799554463
politeness-disagreement-047,0.565200364,0.7503140921
politeness-disagreement-048,0.6165449362,0.69440796
politeness-disagreement-075,1.113693796,0.8281209903
politeness-disagreement-086,0.4857159914,0.7616459086
politeness-inquiry-sensitive-008,0.2785168344,0.9205677339
politeness-inquiry-sensitive-009,0.5777160399,0.7733305546
politeness-inquiry-sensitive-016,0.5932651725,0.9454661298
politeness-inquiry-sensitive-092,0.9056540369,0.5990338892
politeness-refusal-038,0.4381823459,0.8749578795
politeness-refusal-058,2.405374879,0.9030490848
politeness-refusal-064,0.7594537028,0.593247116
politeness-refusal-069,0.3544805749,0.9687851262
politeness-refusal-077,1.118528498,0.8410698621
politeness-refusal-080,0.5629177591,0.7621787141
politeness-refusal-083,0.6669247433,0.7786231937
politeness-refusal-090,0.8644114933,0.5864320118
politeness-reminder-017,0.5023239289,0.9081070022
politeness-reminder-018,1.213584801,0.9478709443
politeness-reminder-019,1.515041582,0.9380517782
politeness-reminder-021,5.538761016,0.9797276615
politeness-reminder-079,0.9547203075,0.7999485757
politeness-reminder-094,2.138131667,0.9646810834
politeness-request-001,0.8548192146,0.6828702123
politeness-request-006,1.96593643,0.8980284812
politeness-request-025,0.4873917701,0.9546988258
politeness-request-029,0.5778441062,0.8229166705
politeness-request-031,0.3852886368,0.9338977446
politeness-request-037,1.536060845,0.7787832611
politeness-request-053,2.92758716,0.9276218585
politeness-request-056,2.127861504,0.8953162337
politeness-request-061,1.019015915,0.5982695941
politeness-request-074,0.2490061074,0.9342096895
politeness-request-093,0.8206570307,0.7145707091
politeness-request-097,2.368123165,0.9333754041
