component,variance_ratio,cumulative
1,0.1796313873,0.1796313873
2,0.1053539149,0.2849853022
3,0.06871194934,0.3536972515
4,0.04465530759,0.3983525591
5,0.03745331876,0.4358058779
6,0.02915877868,0.4649646565
7,0.02544263475,0.4904072913
8,0.0220306644,0.5124379557
