layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.9244459867,-0.3713665009,0.6973521709
2,-0.9734654427,-0.5670838356,0.7405177355
3,-0.9682178497,-0.5111694336,0.7098864317
4,-0.9638487101,-0.5008203983,0.7133412957
5,-0.9642534256,-0.4930583239,0.7059665918
6,-0.9585001469,-0.4751274586,0.7062676549
7,-0.9502825737,-0.3971781731,0.6632062197
8,-0.9425747395,-0.3419212103,0.6361512542
9,-0.9363331795,-0.3221299648,0.6340181231
10,-0.9292443991,-0.2999811172,0.6312055588
11,-0.9204257727,-0.2669504881,0.6224392056
12,-0.9216299057,-0.2829717398,0.6330040693
13,-0.9139373302,-0.2390354872,0.6125531793
14,-0.9160149097,-0.2588554621,0.6245872974
15,-0.9106377363,-0.251584053,0.6290169954
16,-0.9024162292,-0.2478852272,0.6411133409
17,-0.8848035336,-0.1853320599,0.6218746305
18,-0.8708065748,-0.1513113976,0.6177280545
19,-0.852353096,-0.1498222351,0.644765377
20,-0.8432366848,-0.1390454769,0.6495687962
21,-0.7849752903,-0.06552863121,0.6696337461
22,-0.7664065361,-0.04710531235,0.6777445674
23,-0.7402641773,-0.01651644707,0.684450984
24,-0.6901092529,0.02944380045,0.7030720711
25,-0.6861656904,0.0166977644,0.7158864737
26,-0.48272264,0.172971189,0.779075563
27,-0.5859259367,-0.0326230526,0.8290480375
